index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 98, 98, 1089, 1047, 1047, 33, 11805, 3970
2, 1178, 533, 2821, 2060, 2060, 73, 26461, 12454
3, 3445, 1319, 4844, 2210, 2210, 79, 39766, 23278
4, 4823, 1917, 6340, 2511, 2511, 92, 49807, 29091
5, 6117, 2369, 7601, 2760, 2760, 96, 57285, 34228
6, 7442, 2947, 8661, 3295, 3295, 108, 65048, 38412
7, 9372, 3723, 10673, 4104, 4104, 135, 83990, 50502
8, 10417, 4382, 11698, 5057, 5057, 162, 101873, 62547
9, 12048, 5011, 13329, 5629, 5629, 178, 122789, 74936
10, 13459, 5447, 14785, 5986, 5986, 196, 143008, 86178
11, 14926, 5899, 16252, 6311, 6311, 215, 160905, 96914
12, 16034, 6268, 17588, 6490, 6490, 234, 180896, 107945
13, 17350, 6560, 18985, 6492, 6492, 234, 199523, 118561
14, 19988, 7463, 21347, 6911, 6911, 261, 217663, 130733
15, 22562, 8470, 23909, 7485, 7485, 279, 236352, 143204
16, 25223, 9569, 26531, 8121, 8121, 288, 254111, 155494
17, 27499, 10567, 28721, 9099, 9099, 305, 271512, 167905
18, 29946, 11784, 31010, 10558, 10558, 332, 288030, 180482
19, 31768, 12808, 32789, 12060, 12060, 355, 304035, 191472
20, 32747, 13226, 34033, 12706, 12706, 380, 318955, 200529
21, 34923, 14207, 36151, 13400, 13400, 388, 329562, 208177
22, 36226, 14760, 37411, 13838, 13838, 411, 336943, 213643
23, 37177, 15074, 38610, 14206, 14206, 426, 346703, 218357
24, 38464, 15725, 39680, 14775, 14775, 434, 353910, 222886
25, 40492, 16532, 41824, 15185, 15185, 454, 372663, 234181
26, 42347, 17166, 43749, 15566, 15566, 484, 386089, 244174
27, 45024, 18351, 46308, 16273, 16273, 513, 405770, 258434
28, 46650, 18878, 48090, 16427, 16427, 518, 425994, 271448
29, 48223, 19405, 49563, 16586, 16586, 527, 437221, 280451
30, 51475, 21045, 52622, 18155, 18155, 580, 454120, 293080
31, 53834, 22303, 54861, 19434, 19434, 614, 467876, 305161
32, 55777, 23299, 56833, 20556, 20556, 640, 480832, 316821
33, 58195, 24690, 59394, 22051, 22051, 675, 493767, 327336
34, 60114, 25399, 61540, 22911, 22911, 697, 514098, 341604
35, 62184, 26528, 63387, 23604, 23604, 715, 527300, 352234
36, 64541, 27655, 65674, 24527, 24527, 742, 541333, 364884
37, 66675, 28680, 67768, 25439, 25439, 770, 554944, 376773
38, 68944, 29776, 70037, 26464, 26464, 795, 568381, 389184
39, 71961, 31237, 73047, 27926, 27926, 820, 581328, 400907
40, 73994, 32324, 75053, 29248, 29248, 849, 593035, 411687
41, 75861, 33273, 76915, 30177, 30177, 868, 603798, 421343
42, 77588, 34112, 78663, 31022, 31022, 885, 616037, 431683
43, 78846, 34679, 80018, 31512, 31512, 898, 638124, 441710
44, 79753, 34989, 81327, 31649, 31649, 911, 654896, 451030
45, 81186, 35529, 82666, 31825, 31825, 918, 668724, 457661
46, 82496, 35856, 84033, 31838, 31838, 920, 694604, 469705
47, 82837, 35987, 84243, 31838, 31838, 920, 713574, 477879
48, 83733, 36148, 85390, 31839, 31839, 920, 730556, 486109
49, 84222, 36349, 85678, 31864, 31864, 922, 750627, 496109
50, 85172, 36552, 86768, 31885, 31885, 925, 770341, 505033
51, 85347, 36612, 86883, 31900, 2, 0, 777086, 508294
52, 85465, 36637, 86976, 31900, 2, 0, 782743, 510873
53, 85663, 36697, 87114, 31900, 2, 0, 787118, 513205
54, 86287, 36771, 87990, 31904, 6, 0, 791412, 515554
55, 86470, 36855, 88089, 31929, 31, 4, 796932, 517797
56, 86590, 36891, 88173, 31929, 31, 4, 802201, 520272
57, 86749, 36984, 88239, 31967, 69, 7, 806887, 522634
58, 86899, 37037, 88336, 31967, 69, 7, 812073, 525221
59, 86995, 37061, 88408, 31967, 69, 7, 816748, 527475
60, 87107, 37092, 88499, 31967, 69, 7, 821614, 529705
61, 87558, 37117, 89324, 31967, 69, 7, 826301, 531822
62, 87696, 37159, 89420, 31967, 69, 7, 830200, 533710
63, 87910, 37205, 89588, 31967, 69, 7, 834189, 536041
64, 88161, 37321, 89723, 31975, 77, 9, 838538, 538326
