index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 31903, 16656, 32912, 26261, 26261, 561, 64521, 31704
2, 64602, 33230, 65624, 52013, 52013, 1095, 128858, 63759
3, 97274, 49726, 98306, 75392, 75392, 1617, 193015, 95587
4, 133178, 69564, 134215, 90697, 90697, 1967, 260573, 128933
5, 164540, 84604, 165627, 95824, 95824, 2111, 325182, 161404
6, 196501, 99663, 197601, 99195, 99195, 2218, 389762, 193844
7, 228238, 114722, 229347, 103556, 103556, 2335, 454327, 226369
8, 259904, 129729, 261018, 107231, 107231, 2462, 518910, 258740
9, 291483, 144750, 292549, 110923, 110923, 2573, 583487, 291153
10, 323608, 159582, 324682, 114109, 114109, 2650, 648960, 322151
11, 355285, 175032, 356278, 118639, 118639, 2780, 713435, 354521
12, 386675, 190488, 387665, 123877, 123877, 2929, 777889, 386859
13, 417687, 205960, 418744, 134148, 134148, 3170, 842319, 419278
14, 448812, 221368, 449797, 143159, 143159, 3403, 906766, 451542
15, 479828, 236784, 480841, 153561, 153561, 3635, 971240, 483865
16, 510683, 250603, 511685, 160201, 160201, 3829, 1032873, 511299
17, 543337, 267033, 544352, 180060, 180060, 4300, 1097364, 543647
18, 575965, 283469, 576983, 202765, 202765, 4826, 1161815, 575978
19, 608702, 299896, 609719, 222902, 222902, 5268, 1226287, 608369
20, 641228, 316279, 642252, 245578, 245578, 5793, 1290667, 640592
21, 673859, 332671, 674867, 264624, 264624, 6249, 1355166, 672899
22, 705957, 348782, 706966, 284725, 284725, 6717, 1419219, 704499
23, 738086, 364877, 739123, 305383, 305383, 7191, 1483324, 736052
24, 1085760, 369642, 1087788, 307995, 307995, 7249, 1652878, 743903
25, 1125727, 387511, 1126730, 333800, 333800, 7838, 1724144, 775113
26, 1158500, 404161, 1159478, 365171, 365171, 8419, 1788626, 807487
27, 1191202, 420823, 1192213, 396333, 396333, 9006, 1853077, 839827
28, 1223978, 437492, 1224982, 427118, 427118, 9569, 1917476, 872222
29, 1256649, 454100, 1257623, 457187, 457187, 10147, 1981957, 904503
30, 1289209, 470654, 1290216, 487044, 487044, 10719, 2046333, 936623
