index, address, array, ip_fold_1, pf_degree, valid, ppf_prediction
1, 90505191, ( 696 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
2, 90505190, ( 690 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
3, 90505189, ( 684 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
4, 90505188, ( 678 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
5, 90505187, ( 669 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
6, 90505186, ( 666 695 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
7, 90505185, ( 660 689 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
8, 90505184, ( 654 683 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
9, 90505183, ( 648 677 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
10, 90505182, ( 639 668 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
11, 90505181, ( 636 665 694 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
12, 90505176, ( 635 664 ), ( 0 491 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
13, 90505171, ( 634 ), ( 491 ), ( 3 ), ( 1 ), ( 0 )
14, 90505180, ( 630 659 688 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
15, 90505175, ( 629 658 ), ( 0 491 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
16, 90505170, ( 628 ), ( 491 ), ( 3 ), ( 1 ), ( 0 )
17, 90505179, ( 624 653 682 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
18, 90505174, ( 623 652 ), ( 0 491 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
19, 90505169, ( 622 ), ( 491 ), ( 3 ), ( 1 ), ( 0 )
20, 90505178, ( 618 647 676 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
21, 90505173, ( 617 646 ), ( 0 491 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
22, 90505168, ( 616 ), ( 491 ), ( 3 ), ( 1 ), ( 0 )
23, 90505177, ( 609 638 667 ), ( 0 0 493 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
24, 90505172, ( 608 637 ), ( 0 493 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
25, 90505167, ( 607 ), ( 493 ), ( 3 ), ( 1 ), ( 0 )
26, 65923480, ( 590 604 ), ( 0 507 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
27, 65923475, ( 589 ), ( 507 ), ( 3 ), ( 1 ), ( 0 )
28, 65923479, ( 587 601 ), ( 0 509 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
29, 65923474, ( 586 ), ( 509 ), ( 3 ), ( 1 ), ( 0 )
30, 65923478, ( 584 598 ), ( 0 507 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
31, 65923473, ( 583 ), ( 507 ), ( 3 ), ( 1 ), ( 0 )
32, 65923477, ( 581 595 ), ( 0 508 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
33, 65923472, ( 580 ), ( 508 ), ( 3 ), ( 1 ), ( 0 )
34, 65923476, ( 578 592 ), ( 0 507 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
35, 65923471, ( 577 ), ( 507 ), ( 3 ), ( 1 ), ( 0 )
36, 37966, ( 576 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
37, 37965, ( 573 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
38, 37964, ( 570 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
39, 37963, ( 567 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
40, 37962, ( 564 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
41, 37961, ( 561 575 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
42, 37960, ( 558 572 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
43, 37959, ( 555 569 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
44, 37958, ( 552 566 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
45, 37957, ( 549 563 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
46, 37956, ( 546 560 574 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
47, 37955, ( 540 557 571 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
48, 37954, ( 534 554 568 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
49, 37953, ( 528 551 565 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
50, 37952, ( 519 548 562 ), ( 0 0 493 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
51, 37951, ( 516 545 559 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
52, 37950, ( 510 539 556 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
53, 37949, ( 504 533 553 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
54, 37948, ( 498 527 550 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
55, 37947, ( 489 518 547 ), ( 0 0 493 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
56, 37946, ( 486 515 544 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
57, 37945, ( 480 509 538 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
58, 37944, ( 474 503 532 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
59, 37943, ( 468 497 526 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
60, 13775680, ( 462 491 520 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
61, 37942, ( 459 488 517 ), ( 0 0 493 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
62, 37941, ( 456 485 514 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
63, 13775679, ( 453 482 511 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
64, 37940, ( 450 479 508 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
65, 13775678, ( 447 476 505 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
66, 37939, ( 444 473 502 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
67, 13775677, ( 441 470 499 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
68, 37938, ( 438 467 496 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
69, 13775676, ( 435 464 493 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
70, 13775675, ( 432 461 490 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
71, 37937, ( 429 458 487 ), ( 0 0 493 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
72, 37936, ( 426 455 484 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
73, 13775674, ( 423 452 481 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
74, 37935, ( 420 449 478 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
75, 13775673, ( 417 446 475 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
76, 37934, ( 414 443 472 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
77, 13775672, ( 411 440 469 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
78, 37933, ( 408 437 466 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
79, 13775671, ( 405 434 463 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
80, 13775670, ( 402 431 460 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
81, 37932, ( 399 428 457 ), ( 0 0 493 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
82, 37931, ( 396 425 454 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
83, 13775669, ( 393 422 451 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
84, 37930, ( 390 419 448 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
85, 13775668, ( 387 416 445 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
86, 37929, ( 384 413 442 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
87, 13775667, ( 381 410 439 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
88, 37928, ( 378 407 436 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
89, 13775666, ( 375 404 433 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
90, 13775665, ( 372 401 430 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
91, 37927, ( 369 398 427 ), ( 0 0 493 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
92, 37926, ( 366 395 424 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
93, 13775664, ( 363 392 421 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
94, 37925, ( 360 389 418 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
95, 13775663, ( 357 386 415 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
96, 37924, ( 354 383 412 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
97, 13775662, ( 351 380 409 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
98, 37923, ( 348 377 406 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
99, 13775661, ( 345 374 403 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
100, 13775660, ( 342 371 400 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
101, 37922, ( 339 368 397 ), ( 0 0 493 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
102, 37921, ( 336 365 394 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
103, 13775659, ( 333 362 391 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
104, 37920, ( 330 359 388 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
105, 13775658, ( 327 356 385 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
106, 37919, ( 324 353 382 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
107, 13775657, ( 321 350 379 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
108, 37918, ( 318 347 376 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
109, 37913, ( 317 346 ), ( 0 491 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
110, 37908, ( 316 ), ( 491 ), ( 3 ), ( 1 ), ( 0 )
111, 13775656, ( 315 344 373 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
112, 13775655, ( 312 341 370 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
113, 37917, ( 309 338 367 ), ( 0 0 493 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
114, 37912, ( 308 337 ), ( 0 493 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
115, 37907, ( 307 ), ( 493 ), ( 3 ), ( 1 ), ( 0 )
116, 37916, ( 306 335 364 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
117, 37911, ( 305 334 ), ( 0 491 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
118, 37906, ( 304 ), ( 491 ), ( 3 ), ( 1 ), ( 0 )
119, 13775654, ( 303 332 361 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
120, 37915, ( 300 329 358 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
121, 37910, ( 299 328 ), ( 0 491 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
122, 37905, ( 298 ), ( 491 ), ( 3 ), ( 1 ), ( 0 )
123, 13775653, ( 294 326 355 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
124, 37914, ( 291 323 352 ), ( 0 0 491 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
125, 37909, ( 290 322 ), ( 0 491 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
126, 37904, ( 289 ), ( 491 ), ( 3 ), ( 1 ), ( 0 )
127, 13775652, ( 288 320 349 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
128, 13775651, ( 285 314 343 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
129, 13775650, ( 282 311 340 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
130, 13775649, ( 279 302 331 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
131, 13775648, ( 276 293 325 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
132, 13775647, ( 273 287 319 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
133, 13775646, ( 270 284 313 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
134, 13775645, ( 267 281 310 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
135, 13775640, ( 266 280 ), ( 0 507 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
136, 13775635, ( 265 ), ( 507 ), ( 3 ), ( 1 ), ( 0 )
137, 13775644, ( 264 278 301 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
138, 13775639, ( 263 277 ), ( 0 507 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
139, 13775634, ( 262 ), ( 507 ), ( 3 ), ( 1 ), ( 0 )
140, 13775643, ( 261 275 292 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
141, 13775638, ( 260 274 ), ( 0 509 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
142, 13775633, ( 259 ), ( 509 ), ( 3 ), ( 1 ), ( 0 )
143, 13775642, ( 258 272 286 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
144, 13775637, ( 257 271 ), ( 0 507 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
145, 13775632, ( 256 ), ( 507 ), ( 3 ), ( 1 ), ( 0 )
146, 13775641, ( 255 269 283 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
147, 13775636, ( 254 268 ), ( 0 508 ), ( 2 3 ), ( 1 1 ), ( 0 0 )
148, 13775631, ( 253 ), ( 508 ), ( 3 ), ( 1 ), ( 0 )
149, 3892366, ( 222 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
150, 3892365, ( 213 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
151, 3892364, ( 207 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
152, 3892363, ( 201 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
153, 3892362, ( 195 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
154, 3892361, ( 192 221 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
155, 61936654, ( 1952 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
156, 61936653, ( 1949 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
157, 61936652, ( 1940 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
158, 61936651, ( 1934 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
159, 61936650, ( 1928 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
160, 61936649, ( 1922 1951 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
161, 61936648, ( 1919 1948 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
162, 61936647, ( 1910 1939 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
163, 61936646, ( 1904 1933 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
164, 61936645, ( 1898 1927 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
165, 61936644, ( 1892 1921 1950 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
166, 61936643, ( 1889 1918 1947 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
167, 61936642, ( 1880 1909 1938 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
168, 61936641, ( 1874 1903 1932 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
169, 61936640, ( 1868 1897 1926 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
170, 61936639, ( 1862 1891 1920 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
171, 61936638, ( 1859 1888 1917 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
172, 61936637, ( 1850 1879 1908 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
173, 61936636, ( 1844 1873 1902 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
174, 61936635, ( 1838 1867 1896 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
175, 61936634, ( 1832 1861 1890 ), ( 0 0 508 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
176, 61936633, ( 1829 1858 1887 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
177, 61936632, ( 1820 1849 1878 ), ( 0 0 507 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
178, 61936631, ( 1814 1843 1872 ), ( 0 0 509 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 0 )
